Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
CB201179  ,202,2016,1,102302,2020,1,445,0,NULL,5,5,0,1,7.79,4,4,0,1,8.53,9,9,0,1,8.16,100,2.63,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CB202195  ,103,2017,1,102301,2020,1,378,0,NULL,4,1,3,0.25,3.68,NULL,NULL,NULL,NULL,NULL,4,1,3,0.25,3.68,1.8,6.39,2,0,0,0,0,1,1,1,0,0,0,0,0,3,1
CB202577  ,402,2019,1,102301,2020,1,91,0,NULL,3,0,3,0,3.24,NULL,NULL,NULL,NULL,NULL,3,0,3,0,3.24,0,5.05,2,0,0,0,1,1,1,1,0,0,0,0,0,4,1
CB202646  ,703,2013,1,102301,2020,1,1342,0,NULL,6,5,1,0.8333,8.16,5,5,0,1,8.27,11,10,1,0.9091,8.22,70.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CB202759  ,620,2017,2,102301,2020,1,18,0,NULL,3,3,0,1,9.87,3,3,0,1,8.42,6,6,0,1,9.14,58.3,1,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CB202896  ,702,2014,1,102301,2020,1,198,0,NULL,4,0,4,0,1.73,2,0,1,0,1.45,6,0,5,0,1.59,3.4,7.87,2,1,0,0,0,1,1,1,0,0,0,0,0,3,0
CB202967  ,902,2019,9,102302,2020,1,23,0,NULL,5,5,0,1,8.08,5,1,4,0.2,4.31,10,6,4,0.6,6.19,30,7.8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CB202983  ,803,2014,9,102301,2020,1,428,0,NULL,5,5,0,1,8.03,NULL,NULL,NULL,NULL,NULL,5,5,0,1,8.03,78.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CB210148  ,104,2017,1,102301,2021,1,58,0,NULL,4,3,1,0.75,6.05,5,0,4,0,1.22,9,3,5,0.3333,3.64,10.1,1.5,4,1,0,0,1,1,0,1,0,0,0,0,0,3,0
CB210172  ,219,2018,1,102301,2021,1,342,0,NULL,3,3,0,1,8.7,3,3,0,1,8.79,6,6,0,1,8.75,100,1.5,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CB210434  ,202,2021,1,102302,2021,1,330,0,NULL,5,5,0,1,8.53,4,4,0,1,8.47,9,9,0,1,8.5,95.3,1,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
